연령층,시간대,발생건수,사망자수,부상자수,중상,경상,부상신고
12세이하,00시-02시,10,0,11,1,5,5
12세이하,02시-04시,19,0,21,4,10,7
12세이하,04시-06시,50,2,51,11,25,15
12세이하,06시-08시,32,0,35,11,13,11
12세이하,08시-10시,32,0,35,8,14,13
12세이하,10시-12시,40,0,43,12,20,11
12세이하,12시-14시,33,0,36,7,20,9
12세이하,14시-16시,40,0,44,6,25,13
12세이하,16시-18시,48,0,53,11,20,22
12세이하,18시-20시,34,0,36,7,15,14
12세이하,20시-22시,31,0,31,3,25,3
12세이하,22시-24시,35,0,36,8,19,9
13-20세,00시-02시,303,2,402,110,222,70
13-20세,02시-04시,595,6,827,221,487,119
13-20세,04시-06시,575,10,804,185,490,129
13-20세,06시-08시,613,23,848,216,492,140
13-20세,08시-10시,567,10,811,219,483,109
13-20세,10시-12시,592,3,859,223,505,131
13-20세,12시-14시,596,12,873,252,503,118
13-20세,14시-16시,590,9,844,210,511,123
13-20세,16시-18시,591,7,799,227,450,122
13-20세,18시-20시,585,11,825,241,452,132
13-20세,20시-22시,570,12,778,197,456,125
13-20세,22시-24시,627,10,885,228,539,118
21-30세,00시-02시,1020,22,1670,413,1134,123
21-30세,02시-04시,1913,31,3021,768,2026,227
21-30세,04시-06시,2052,35,3300,835,2203,262
21-30세,06시-08시,1973,39,3102,823,2064,215
21-30세,08시-10시,2008,34,3160,810,2137,213
21-30세,10시-12시,2142,33,3323,863,2241,219
21-30세,12시-14시,2106,33,3248,830,2178,240
21-30세,14시-16시,2082,46,3196,877,2091,228
21-30세,16시-18시,2048,39,3264,751,2281,232
21-30세,18시-20시,2032,41,3245,808,2194,243
21-30세,20시-22시,1882,41,3059,720,2114,225
21-30세,22시-24시,1976,37,3015,785,1981,249
31-40세,00시-02시,1166,11,1816,472,1245,99
31-40세,02시-04시,2521,65,3880,1013,2643,224
31-40세,04시-06시,2446,36,3734,956,2534,244
31-40세,06시-08시,2532,39,3876,994,2652,230
31-40세,08시-10시,2446,47,3755,969,2536,250
31-40세,10시-12시,2658,49,4054,1021,2742,291
31-40세,12시-14시,2645,40,4035,1051,2713,271
31-40세,14시-16시,2516,41,3933,1016,2652,265
31-40세,16시-18시,2694,37,4083,1107,2713,263
31-40세,18시-20시,2567,44,4065,975,2832,258
31-40세,20시-22시,2505,41,3770,972,2567,231
31-40세,22시-24시,2549,50,3956,1022,2649,285
41-50세,00시-02시,1548,25,2403,609,1646,148
41-50세,02시-04시,3374,54,5118,1400,3420,298
41-50세,04시-06시,3362,53,5034,1366,3357,311
41-50세,06시-08시,3531,71,5346,1442,3593,311
41-50세,08시-10시,3394,65,5072,1322,3481,269
41-50세,10시-12시,3612,60,5527,1442,3781,304
41-50세,12시-14시,3624,77,5426,1411,3702,313
41-50세,14시-16시,3334,51,5110,1357,3436,317
41-50세,16시-18시,3589,65,5367,1461,3619,287
41-50세,18시-20시,3387,64,5372,1454,3600,318
41-50세,20시-22시,3300,74,4997,1339,3384,274
41-50세,22시-24시,3332,65,4969,1279,3397,293
51-60세,00시-02시,1812,29,2851,780,1896,175
51-60세,02시-04시,3770,52,5736,1583,3864,289
51-60세,04시-06시,3754,71,5742,1492,3910,340
51-60세,06시-08시,3782,79,5776,1469,3988,319
51-60세,08시-10시,3754,83,5709,1559,3812,338
51-60세,10시-12시,3932,86,5974,1662,4010,302
51-60세,12시-14시,3814,68,5659,1559,3788,312
51-60세,14시-16시,3733,61,5661,1450,3891,320
51-60세,16시-18시,3948,75,5926,1549,3994,383
51-60세,18시-20시,3772,79,5873,1524,4029,320
51-60세,20시-22시,3745,80,5666,1533,3853,280
51-60세,22시-24시,3850,71,5688,1566,3796,326
61-64세,00시-02시,392,8,610,168,419,23
61-64세,02시-04시,888,20,1319,380,868,71
61-64세,04시-06시,900,21,1416,363,950,103
61-64세,06시-08시,949,28,1400,406,921,73
61-64세,08시-10시,878,20,1317,388,844,85
61-64세,10시-12시,892,20,1327,355,878,94
61-64세,12시-14시,967,21,1360,382,881,97
61-64세,14시-16시,935,13,1381,378,922,81
61-64세,16시-18시,1042,25,1471,386,990,95
61-64세,18시-20시,871,15,1391,354,960,77
61-64세,20시-22시,863,28,1295,398,819,78
61-64세,22시-24시,879,26,1287,359,847,81
65세이상,00시-02시,693,38,1009,289,656,64
65세이상,02시-04시,1494,61,2069,622,1317,130
65세이상,04시-06시,1521,58,2235,645,1429,161
65세이상,06시-08시,1516,63,2241,653,1427,161
65세이상,08시-10시,1512,55,2200,691,1367,142
65세이상,10시-12시,1520,45,2201,663,1401,137
65세이상,12시-14시,1515,46,2277,711,1401,165
65세이상,14시-16시,1523,49,2207,686,1371,150
65세이상,16시-18시,1605,58,2309,696,1445,168
65세이상,18시-20시,1467,47,2216,618,1444,154
65세이상,20시-22시,1487,57,2120,668,1292,160
65세이상,22시-24시,1581,57,2254,679,1417,158
불명,00시-02시,175,0,197,37,117,43
불명,02시-04시,400,0,447,70,284,93
불명,04시-06시,404,0,462,89,282,91
불명,06시-08시,403,1,455,89,275,91
불명,08시-10시,376,0,407,71,260,76
불명,10시-12시,408,1,455,72,288,95
불명,12시-14시,412,0,479,69,316,94
불명,14시-16시,388,1,430,69,290,71
불명,16시-18시,414,0,457,89,292,76
불명,18시-20시,380,1,429,76,277,76
불명,20시-22시,354,0,401,61,255,85
불명,22시-24시,382,0,414,54,264,96
