순위,선수,팀,출전 경기,타수,H,홈런,타점,도루,R,사구,삼진,AVG,출루율,장타율,OPS
1,Cody Bellinger,LA 다저스,53,191,73,20,51,7,49,33,31,0.382,0.469,0.77,1.239
2,Josh Bell,파이어리츠,53,201,68,17,48,0,39,23,47,0.338,0.405,0.706,1.111
3,Tim Anderson,화이트삭스,47,178,60,8,25,13,28,7,36,0.337,0.369,0.506,0.875
4,Jorge Polanco,트윈스,52,206,69,9,26,1,33,24,34,0.335,0.405,0.583,0.988
5,놀란 아레나도,로키스,52,213,71,15,46,1,42,18,24,0.333,0.38,0.629,1.009
6,Jeff McNeil,메츠,46,165,55,2,15,0,20,16,20,0.333,0.418,0.461,0.879
7,Rafael Devers,레드삭스,54,207,68,7,31,7,39,20,35,0.329,0.389,0.512,0.901
8,마이클 브랜트리,애스트로스,54,209,68,10,36,3,30,17,21,0.325,0.38,0.541,0.921
9,엔토니 렌돈,내셔널스,41,148,47,10,32,1,39,23,28,0.318,0.424,0.655,1.079
10,David Fletcher,LA 에인절스,52,179,57,4,21,4,26,13,13,0.318,0.365,0.458,0.823
11,자쉬 레딕,애스트로스,48,174,55,4,15,2,23,16,22,0.316,0.368,0.431,0.799
12,엘비스 앤드루스,레인저스,42,172,54,6,26,9,27,11,30,0.314,0.366,0.488,0.854
13,크리스티안 일리치,브루어스,49,175,55,21,44,10,42,32,37,0.314,0.425,0.714,1.139
14,디제이 레마히우,양키스,49,192,60,4,29,2,32,14,27,0.313,0.36,0.427,0.787
15,호세 이글레시아스,레즈,51,176,55,4,21,1,21,8,25,0.313,0.346,0.455,0.801
16,Hunter Dozier,로열스,50,179,56,11,33,1,26,25,41,0.313,0.397,0.592,0.989
17,프레디 프리맨,브레이브스,54,212,66,13,32,0,39,29,41,0.311,0.402,0.566,0.968
18,David Peralta,다이아몬드백스,46,191,59,7,30,0,28,13,50,0.309,0.357,0.524,0.881
19,쟝 세구라,필리스,44,182,56,5,23,3,35,11,25,0.308,0.354,0.478,0.832
20,George Springer,애스트로스,48,185,57,17,43,4,41,25,45,0.308,0.389,0.643,1.032
21,Javier Báez,컵스,52,215,66,13,34,2,37,14,75,0.307,0.348,0.577,0.925
22,제이.디. 말티네즈,레드삭스,49,186,57,11,31,1,31,24,34,0.306,0.388,0.543,0.931
23,세자르 에르난데스,필리스,53,195,59,6,25,3,25,17,30,0.303,0.361,0.482,0.843
24,Tommy La Stella,LA 에인절스,49,159,48,12,33,0,28,14,15,0.302,0.369,0.547,0.916
25,Willson Contreras,컵스,49,159,48,12,32,1,26,22,49,0.302,0.405,0.579,0.984
26,찰리 블렉몬,로키스,46,200,60,10,31,2,35,14,40,0.3,0.356,0.565,0.921
27,Trey Mancini,오리올스,52,207,62,10,26,0,35,16,49,0.3,0.347,0.536,0.883
28,안드렐톤 시몬스,LA 에인절스,46,188,56,3,21,5,22,6,15,0.298,0.323,0.415,0.738
29,져스틴 털널,LA 다저스,50,181,54,6,23,1,27,21,29,0.298,0.387,0.436,0.823
30,에릭 호스머,파드리스,54,208,62,9,33,0,30,15,46,0.298,0.347,0.471,0.818
31,David Dahl,로키스,44,158,47,4,16,1,24,11,53,0.297,0.347,0.481,0.828
32,닐 워컬,말린스,49,146,43,4,13,2,12,17,35,0.295,0.372,0.438,0.81
33,Carlos Correa,애스트로스,50,190,56,11,35,1,26,20,51,0.295,0.36,0.547,0.907
34,미겔 커브레러,타이거스,52,187,55,2,22,0,14,22,43,0.294,0.368,0.369,0.737
35,추 신수,레인저스,49,189,55,9,22,3,35,23,53,0.291,0.382,0.529,0.911
36,Tommy Pham,레이스,51,196,57,8,26,6,23,36,42,0.291,0.404,0.474,0.878
37,Paul DeJong,카디널스,53,196,57,8,26,4,40,29,39,0.291,0.394,0.51,0.904
38,안토니 리조,컵스,49,186,54,15,42,2,36,26,30,0.29,0.406,0.597,1.003
39,에드와도 데스코바,다이아몬드백스,54,214,62,13,42,1,34,19,46,0.29,0.353,0.561,0.914
40,젠더 보가츠,레드삭스,52,204,59,9,35,1,41,29,46,0.289,0.376,0.5,0.876
41,Mookie Betts,레드삭스,54,208,60,8,26,6,44,38,36,0.288,0.4,0.471,0.871
42,Whit Merrifield,로열스,54,222,64,7,27,8,41,18,36,0.288,0.348,0.5,0.848
43,Juan Soto,내셔널스,45,168,48,8,35,3,26,27,49,0.286,0.386,0.506,0.892
44,아비사일 가르시아,레이스,45,176,50,10,23,6,25,13,45,0.284,0.347,0.511,0.858
45,Brian Goodwin,LA 에인절스,51,162,46,6,19,2,29,16,44,0.284,0.348,0.463,0.811
